n_wind,p_solar,total_capex
12,21000,105779468.82807504
11,23000,106039468.82807504
13,20000,106319468.82807504
12,22000,106579468.82807504
11,24000,106839468.82807504
14,19000,106859468.82807504
10,26000,107099468.82807504
13,21000,107119468.82807504
12,23000,107379468.82807504
15,18000,107399468.82807504
11,25000,107639468.82807504
14,20000,107659468.82807504
10,27000,107899468.82807504
13,22000,107919468.82807504
16,17000,107939468.82807504
12,24000,108179468.82807504
15,19000,108199468.82807504
11,26000,108439468.82807504
14,21000,108459468.82807504
10,28000,108699468.82807504
13,23000,108719468.82807504
16,18000,108739468.82807504
9,30000,108959468.82807504
12,25000,108979468.82807504
15,20000,108999468.82807504
11,27000,109239468.82807504
14,22000,109259468.82807504
17,17000,109279468.82807504
10,29000,109499468.82807504
13,24000,109519468.82807504
16,19000,109539468.82807504
12,26000,109779468.82807504
15,21000,109799468.82807504
18,16000,109819468.82807504
11,28000,110039468.82807504
14,23000,110059468.82807504
17,18000,110079468.82807504
10,30000,110299468.82807504
13,25000,110319468.82807504
16,20000,110339468.82807504
12,27000,110579468.82807504
15,22000,110599468.82807504
18,17000,110619468.82807504
11,29000,110839468.82807504
14,24000,110859468.82807504
17,19000,110879468.82807504
13,26000,111119468.82807504
16,21000,111139468.82807504
19,16000,111159468.82807504
12,28000,111379468.82807504
15,23000,111399468.82807504
18,18000,111419468.82807504
11,30000,111639468.82807504
14,25000,111659468.82807504
17,20000,111679468.82807504
13,27000,111919468.82807504
16,22000,111939468.82807504
19,17000,111959468.82807504
12,29000,112179468.82807504
15,24000,112199468.82807504
18,19000,112219468.82807504
14,26000,112459468.82807504
17,21000,112479468.82807504
20,16000,112499468.82807504
13,28000,112719468.82807504
16,23000,112739468.82807504
19,18000,112759468.82807504
12,30000,112979468.82807504
15,25000,112999468.82807504
18,20000,113019468.82807504
21,15000,113039468.82807504
14,27000,113259468.82807504
17,22000,113279468.82807504
20,17000,113299468.82807504
13,29000,113519468.82807504
16,24000,113539468.82807504
19,19000,113559468.82807504
15,26000,113799468.82807504
18,21000,113819468.82807504
21,16000,113839468.82807504
14,28000,114059468.82807504
17,23000,114079468.82807504
20,18000,114099468.82807504
13,30000,114319468.82807504
16,25000,114339468.82807504
19,20000,114359468.82807504
22,15000,114379468.82807504
15,27000,114599468.82807504
18,22000,114619468.82807504
21,17000,114639468.82807504
14,29000,114859468.82807504
17,24000,114879468.82807504
20,19000,114899468.82807504
23,14000,114919468.82807504
16,26000,115139468.82807504
19,21000,115159468.82807504
22,16000,115179468.82807504
15,28000,115399468.82807504
18,23000,115419468.82807504
21,18000,115439468.82807504
14,30000,115659468.82807504
17,25000,115679468.82807504
20,20000,115699468.82807504
23,15000,115719468.82807504
16,27000,115939468.82807504
19,22000,115959468.82807504
22,17000,115979468.82807504
15,29000,116199468.82807504
18,24000,116219468.82807504
21,19000,116239468.82807504
24,14000,116259468.82807504
17,26000,116479468.82807504
20,21000,116499468.82807504
23,16000,116519468.82807504
16,28000,116739468.82807504
19,23000,116759468.82807504
22,18000,116779468.82807504
15,30000,116999468.82807504
18,25000,117019468.82807504
21,20000,117039468.82807504
24,15000,117059468.82807504
17,27000,117279468.82807504
20,22000,117299468.82807504
23,17000,117319468.82807504
16,29000,117539468.82807504
19,24000,117559468.82807504
22,19000,117579468.82807504
25,14000,117599468.82807504
18,26000,117819468.82807504
21,21000,117839468.82807504
24,16000,117859468.82807504
17,28000,118079468.82807504
20,23000,118099468.82807504
23,18000,118119468.82807504
26,13000,118139468.82807504
16,30000,118339468.82807504
19,25000,118359468.82807504
22,20000,118379468.82807504
25,15000,118399468.82807504
18,27000,118619468.82807504
21,22000,118639468.82807504
24,17000,118659468.82807504
17,29000,118879468.82807504
20,24000,118899468.82807504
23,19000,118919468.82807504
26,14000,118939468.82807504
19,26000,119159468.82807504
22,21000,119179468.82807504
25,16000,119199468.82807504
18,28000,119419468.82807504
21,23000,119439468.82807504
24,18000,119459468.82807504
27,13000,119479468.82807504
17,30000,119679468.82807504
20,25000,119699468.82807504
23,20000,119719468.82807504
26,15000,119739468.82807504
19,27000,119959468.82807504
22,22000,119979468.82807504
25,17000,119999468.82807504
28,12000,120019468.82807504
18,29000,120219468.82807504
21,24000,120239468.82807504
24,19000,120259468.82807504
27,14000,120279468.82807504
20,26000,120499468.82807504
23,21000,120519468.82807504
26,16000,120539468.82807504
19,28000,120759468.82807504
22,23000,120779468.82807504
25,18000,120799468.82807504
28,13000,120819468.82807504
18,30000,121019468.82807504
21,25000,121039468.82807504
24,20000,121059468.82807504
27,15000,121079468.82807504
20,27000,121299468.82807504
23,22000,121319468.82807504
26,17000,121339468.82807504
29,12000,121359468.82807504
19,29000,121559468.82807504
22,24000,121579468.82807504
25,19000,121599468.82807504
28,14000,121619468.82807504
21,26000,121839468.82807504
24,21000,121859468.82807504
27,16000,121879468.82807504
20,28000,122099468.82807504
23,23000,122119468.82807504
26,18000,122139468.82807504
29,13000,122159468.82807504
19,30000,122359468.82807504
22,25000,122379468.82807504
25,20000,122399468.82807504
28,15000,122419468.82807504
21,27000,122639468.82807504
24,22000,122659468.82807504
27,17000,122679468.82807504
20,29000,122899468.82807504
23,24000,122919468.82807504
26,19000,122939468.82807504
29,14000,122959468.82807504
22,26000,123179468.82807504
25,21000,123199468.82807504
28,16000,123219468.82807504
21,28000,123439468.82807504
24,23000,123459468.82807504
27,18000,123479468.82807504
20,30000,123699468.82807504
23,25000,123719468.82807504
26,20000,123739468.82807504
29,15000,123759468.82807504
22,27000,123979468.82807504
25,22000,123999468.82807504
28,17000,124019468.82807504
21,29000,124239468.82807504
24,24000,124259468.82807504
27,19000,124279468.82807504
23,26000,124519468.82807504
26,21000,124539468.82807504
29,16000,124559468.82807504
22,28000,124779468.82807504
25,23000,124799468.82807504
28,18000,124819468.82807504
21,30000,125039468.82807504
24,25000,125059468.82807504
27,20000,125079468.82807504
23,27000,125319468.82807504
26,22000,125339468.82807504
29,17000,125359468.82807504
22,29000,125579468.82807504
25,24000,125599468.82807504
28,19000,125619468.82807504
24,26000,125859468.82807504
27,21000,125879468.82807504
23,28000,126119468.82807504
26,23000,126139468.82807504
29,18000,126159468.82807504
22,30000,126379468.82807504
25,25000,126399468.82807504
28,20000,126419468.82807504
24,27000,126659468.82807504
27,22000,126679468.82807504
23,29000,126919468.82807504
26,24000,126939468.82807504
29,19000,126959468.82807504
25,26000,127199468.82807504
28,21000,127219468.82807504
24,28000,127459468.82807504
27,23000,127479468.82807504
23,30000,127719468.82807504
26,25000,127739468.82807504
29,20000,127759468.82807504
25,27000,127999468.82807504
28,22000,128019468.82807504
24,29000,128259468.82807504
27,24000,128279468.82807504
26,26000,128539468.82807504
29,21000,128559468.82807504
25,28000,128799468.82807504
28,23000,128819468.82807504
24,30000,129059468.82807504
27,25000,129079468.82807504
26,27000,129339468.82807504
29,22000,129359468.82807504
25,29000,129599468.82807504
28,24000,129619468.82807504
27,26000,129879468.82807504
26,28000,130139468.82807504
29,23000,130159468.82807504
25,30000,130399468.82807504
28,25000,130419468.82807504
27,27000,130679468.82807504
26,29000,130939468.82807504
29,24000,130959468.82807504
28,26000,131219468.82807504
27,28000,131479468.82807504
26,30000,131739468.82807504
29,25000,131759468.82807504
28,27000,132019468.82807504
27,29000,132279468.82807504
29,26000,132559468.82807504
28,28000,132819468.82807504
27,30000,133079468.82807504
29,27000,133359468.82807504
28,29000,133619468.82807504
29,28000,134159468.82807504
28,30000,134419468.82807502
29,29000,134959468.82807502
29,30000,135759468.82807502
